canonical_name_final,trial_count,pair_count,frequency_rank,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,needs_mechanism_review,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
azelaprag bge-105,1,1,144,azelaprag bge-105,azelaprag,Exercise-mimetic/metabolic,apelin receptor,APLNR (APJ),Apelin receptor agonist,small molecule,mono,False,VERIFIED_ALIAS,high,https://www.caymanchem.com/product/44644/azelaprag,"BGE-105/AMG 986 is azelaprag, an APJ agonist.",False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Exercise-mimetic/metabolic,apelin receptor,True,False,False
bardoxolone methyl,1,1,145,bardoxolone methyl,bardoxolone methyl,Metabolic/oxidative stress,Nrf2 activation,KEAP1-NRF2 pathway,Electrophilic KEAP1 modulation leading to NRF2 pathway activation,small molecule,,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT04018339,RTA 402; directly studied for body-weight/body-composition change in obese adults.,False,False,VERIFIED,VERIFIED,Metabolic/oxidative stress,Nrf2 activation,True,False,False
beinaglutide,1,1,146,beinaglutide,benaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED_ALIAS,high,,Spelling variant of benaglutide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
bge-102,1,1,147,bge-102,BGE-102,Inflammation/metabolic,NLRP3 inflammasome,NLRP3,NLRP3 inflammasome inhibition,small molecule,,False,VERIFIED,high,https://ir.bioagelabs.com/news-releases/news-release-details/bioage-labs-completes-ind-enabling-studies-bge-102-potent-orally,Brain-penetrant oral NLRP3 inhibitor.,False,False,VERIFIED,VERIFIED,Inflammation/metabolic,NLRP3 inflammasome,True,False,False
bgm0504 administered subcutaneously sc once a week,1,1,148,bgm0504 administered subcutaneously sc once a week,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,,Formulation/device label; collapse to BGM0504.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
bgm0504 multi-dose pen,1,1,149,bgm0504 multi-dose pen,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,,Formulation/device label; collapse to BGM0504.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
bgm0504 single-dose pen,1,1,150,bgm0504 single-dose pen,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,,Formulation/device label; collapse to BGM0504.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
bi 1356225,1,1,151,bi 1356225,BI 1356225,CNS/appetite,ghrelin/GOAT,MBOAT4 (GOAT),Ghrelin-O-acyltransferase inhibition reduces formation of active acylated ghrelin,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/36958671/,Oral GOAT inhibitor studied in overweight/obesity.,False,False,VERIFIED,VERIFIED,CNS/appetite,ghrelin/GOAT,True,False,False
bi 3006337,1,1,152,bi 3006337,BI 3006337,Undisclosed,undisclosed,,,undisclosed,,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT05970640,Boehringer obesity/fatty-liver programme verified; public molecular mechanism not confidently identified.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
biguanide dpp4 inhibitors sglt2 inhibitors,1,1,153,biguanide dpp4 inhibitors sglt2 inhibitors,mixed diabetes pharmacotherapy classes,Mixed/unspecified,mixed metabolic drug classes,AMPK-associated pathways; DPP4; SLC5A2,"Registry class label spanning biguanide, DPP-4 inhibitor and SGLT2 inhibitor treatments",mixed small-molecule class label,mixed,False,VERIFIED,low,,Class-level registry label; unsuitable for molecule-specific charts.,False,False,VERIFIED,VERIFIED,Mixed/unspecified,mixed metabolic drug classes,True,False,False
bio101,1,1,154,bio101,BIO101,Lean-mass preservation,MAS receptor / muscle preservation,MAS1,MAS-receptor activation supporting muscle anabolism and function during GLP-1-associated weight loss,small molecule,,False,VERIFIED,high,https://www.biophytis.com/en/bio101/,20-hydroxyecdysone; developed as an adjunct to preserve muscle function during obesity treatment.,False,False,VERIFIED,VERIFIED,Lean-mass preservation,MAS receptor / muscle preservation,True,False,False
bivamelagon,1,1,155,bivamelagon,bivamelagon,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,small molecule,mono,False,VERIFIED,high,https://rhythmpharmaceuticals.gcs-web.com/news-releases/news-release-details/rhythm-pharmaceuticals-announces-oral-mc4r-agonist-bivamelagon,Formerly LB54640.,False,False,VERIFIED,VERIFIED,Melanocortin,MC4R,True,False,False
bmf-650,1,1,156,bmf-650,BMF-650,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://www.sec.gov/Archives/edgar/data/1840439/000119312526068375/d95198dex991.htm,Oral non-peptide GLP-1 receptor agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
bms-963272,1,1,157,bms-963272,BMS-963272,GI nutrient absorption/metabolism,MGAT2 inhibition,MOGAT2 (MGAT2),Monoacylglycerol acyltransferase-2 inhibition,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/34613725/,Selective MGAT2 inhibitor with human obesity Phase 1 data.,False,False,VERIFIED,VERIFIED,GI nutrient absorption/metabolism,MGAT2 inhibition,True,False,False
botox 200 unt,1,1,158,botox 200 unt,onabotulinumtoxinA,GI motility/appetite,cholinergic neuromuscular blockade,SNAP25 / acetylcholine-release machinery,"Botulinum toxin-mediated inhibition of acetylcholine release, used intragastrically to alter gastric motility/satiety",protein toxin biologic,,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT04274608,Collapse Botox/Botulinum toxin A labels to onabotulinumtoxinA.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI motility/appetite,cholinergic neuromuscular blockade,True,False,False
botulinum toxin type a,1,1,159,botulinum toxin type a,onabotulinumtoxinA,GI motility/appetite,cholinergic neuromuscular blockade,SNAP25 / acetylcholine-release machinery,"Botulinum toxin-mediated inhibition of acetylcholine release, used intragastrically to alter gastric motility/satiety",protein toxin biologic,,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT04274608,Collapse Botox/Botulinum toxin A labels to onabotulinumtoxinA.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI motility/appetite,cholinergic neuromuscular blockade,True,False,False
bremelanotide,1,1,160,bremelanotide,bremelanotide,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,peptide,mono,False,VERIFIED,high,https://palatin.com/press_releases/palatin-initiates-phase-2-clinical-study-of-bremelanotide-for-the-treatment-of-obesity/,Studied as an adjunct to tirzepatide in obesity.,False,False,VERIFIED,VERIFIED,Melanocortin,MC4R,True,False,False
brenipatide,1,1,161,brenipatide,brenipatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,large-molecule biologic,dual,True,VERIFIED,high,https://www.lilly.com/science/research-development/pipeline,LY3537031.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
bromocriptine,1,1,162,bromocriptine,bromocriptine,CNS/appetite,dopaminergic,DRD2,Dopamine D2 receptor agonism,small molecule,mono,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT03525002,Directly studied for genotype-dependent weight loss in obesity.,False,False,VERIFIED,VERIFIED,CNS/appetite,dopaminergic,True,False,False
caffeine / albuterol,1,1,163,caffeine / albuterol,caffeine + albuterol,Metabolic/energy expenditure,thermogenic/sympathomimetic combination,ADORA1/ADORA2A pathways; ADRB2,Caffeine plus beta2-adrenergic agonism to increase energy expenditure and improve body composition,small-molecule combination,combination,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT02740660,Pediatric-obesity body-composition programme.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,thermogenic/sympathomimetic combination,True,False,False
cagrilintide b,1,1,164,cagrilintide b,cagrilintide,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED_ALIAS,high,,Registry variant; collapse to cagrilintide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Amylin-based,amylin,True,False,False
canagliflozin,1,1,165,canagliflozin,canagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition increases urinary glucose excretion,small molecule,,False,VERIFIED,high,,Established SGLT2 inhibitor.,False,False,VERIFIED,VERIFIED,Renal/glucose transport,SGLT2,True,False,False
cannabis,1,1,166,cannabis,oral cannabis,CNS/appetite,endocannabinoid,CNR1 (CB1); CNR2 (CB2),Mixed phytocannabinoid agonism/modulation of the endocannabinoid system,botanical cannabinoid drug mixture,mixed,False,VERIFIED,medium,https://clinicaltrials.gov/study/NCT06137365,Direct Phase 2 oral-cannabis obesity trial; retain as a mixed cannabinoid intervention rather than a single-molecule asset.,False,False,VERIFIED,VERIFIED,CNS/appetite,endocannabinoid,True,False,False
cg-0416,1,1,167,cg-0416,CG-0416,Metabolic/energy expenditure,THR-beta,THRB,Liver-targeted thyroid hormone receptor-beta agonist,small molecule,mono,False,VERIFIED,high,https://www.curegene.com.cn/en/gongsixinwen/344.html,Oral non-GLP-1 obesity programme designed for fat loss with lean-mass preservation.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,THR-beta,True,False,False
ck-0045,1,1,168,ck-0045,CK-0045,Cytokine/metabolic,IL-22 receptor,IL22RA1; IL10RB,Long-acting IL-22 receptor agonism,lipidated cytokine/peptide biologic,mono,False,VERIFIED,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/851-P/159924/,Long-acting lipidated IL-22 receptor agonist studied in adults with obesity.,False,False,VERIFIED,VERIFIED,Cytokine/metabolic,IL-22 receptor,True,False,False
cms-d008,1,1,169,cms-d008,CMS-D008,Adipose signalling/RNAi,INHBE/activin E,INHBE,"siRNA-mediated silencing of hepatic INHBE, lowering activin E and blocking activin E-ALK7 signalling",siRNA,,False,VERIFIED,high,https://web.cms.net.cn/en/2026/03/cmss-self-developed-innovative-drug-inhbe-targeting-small-nucleic-acid-drug-cms-d008-received-ind-approval-for-overweight-obesity-indication/,Subcutaneous INHBE-targeting siRNA.,False,False,VERIFIED,VERIFIED,Adipose signalling/RNAi,INHBE/activin E,True,False,False
crb-913,1,1,170,crb-913,CRB-913,CNS/peripheral appetite-metabolic,CB1 inverse agonism,CNR1 (CB1),Highly peripherally restricted cannabinoid-1 receptor inverse agonism,small molecule,mono,False,VERIFIED,high,https://www.corbuspharma.com/our-pipeline/crb-913-inverse-agonist-biology-obesity-treatment,Oral peripherally restricted CB1 inverse agonist.,False,False,VERIFIED,VERIFIED,CNS/peripheral appetite-metabolic,CB1 inverse agonism,True,False,False
ct-868,1,1,171,ct-868,CT-868,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Fully biased dual GLP-1/GIP receptor agonism,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/40762050/,Biased dual GLP-1/GIP receptor agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
ct-996,1,1,172,ct-996,ro7795081,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonism,small molecule,mono,True,VERIFIED_ALIAS,high,https://www.roche.com/media/releases/med-cor-2024-07-17,CT-996 is the same Roche/Carmot programme recorded elsewhere as RO7795081.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
cx11 vct220,1,1,173,cx11 vct220,vct220,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,small molecule,mono,True,VERIFIED_ALIAS,high,https://www.corxelbio.com/en/press-releases/corxel-acquires-worldwide-excluding-greater-china-rights-to-an-oral-small-molecule-glp-1-ra-for-the-treatment-of-obesity-and-diabetes/,CX11 and VCT220 are the same oral non-peptide GLP-1RA.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
cyclo-z,1,1,174,cyclo-z,Cyclo-Z,Metabolic/insulin-leptin sensitisation,insulin/leptin sensitisation,direct molecular target not established,Cyclo(His-Pro) plus zinc formulation intended to improve insulin and leptin sensitivity,cyclic dipeptide + zinc combination,,False,VERIFIED,medium,https://diabetesjournals.org/diabetes/article/68/Supplement_1/1174-P/58999/,Phase 2a combination of cyclo(His-Pro) and zinc; direct molecular target is not established.,False,False,VERIFIED,VERIFIED,Metabolic/insulin-leptin sensitisation,insulin/leptin sensitisation,True,False,False
da-1726,1,1,175,da-1726,DA-1726,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonism,peptide,dual,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/75/Supplement_1/3102-LB/167968,Oxyntomodulin analogue and dual GLP1R/GCGR agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
dapagliflozin dapa,1,1,176,dapagliflozin dapa,dapagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition,small molecule,,False,VERIFIED_ALIAS,high,,Registry wording; collapse to dapagliflozin.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Renal/glucose transport,SGLT2,True,False,False
dapagliflozin plus glucophage met er,1,1,177,dapagliflozin plus glucophage met er,dapagliflozin + metformin,Metabolic combination,SGLT2 + biguanide,SLC5A2 (SGLT2); mitochondrial/AMPK-associated metformin pathways,Combined SGLT2 inhibition and metformin insulin-sensitising/metabolic effects,small-molecule combination,combination,False,VERIFIED_ALIAS,high,,Registry/formulation wording for dapagliflozin + metformin combination.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,SGLT2 + biguanide,True,False,False
dapagliflozin plus metformin xr,1,1,178,dapagliflozin plus metformin xr,dapagliflozin + metformin,Metabolic combination,SGLT2 + biguanide,SLC5A2 (SGLT2); mitochondrial/AMPK-associated metformin pathways,Combined SGLT2 inhibition and metformin insulin-sensitising/metabolic effects,small-molecule combination,combination,False,VERIFIED_ALIAS,high,,Registry/formulation wording for dapagliflozin + metformin combination.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,SGLT2 + biguanide,True,False,False
dapagliflozin tab,1,1,179,dapagliflozin tab,dapagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition,small molecule,,False,VERIFIED_ALIAS,high,,Tablet wording; collapse to dapagliflozin.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Renal/glucose transport,SGLT2,True,False,False
dapagliflozin/metformin,1,1,180,dapagliflozin/metformin,dapagliflozin + metformin,Metabolic combination,SGLT2 + biguanide,SLC5A2 (SGLT2); mitochondrial/AMPK-associated metformin pathways,Combined SGLT2 inhibition and metformin insulin-sensitising/metabolic effects,small-molecule combination,combination,False,VERIFIED_ALIAS,high,,Registry/formulation wording for dapagliflozin + metformin combination.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,SGLT2 + biguanide,True,False,False
dccr diazoxide choline,1,1,181,dccr diazoxide choline,diazoxide choline,CNS/appetite,KATP-channel activation,ATP-sensitive K+ channels (KATP),KATP-channel activation reduces hypothalamic orexigenic NPY/AgRP signalling and hyperphagia,small molecule,,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/42100354/,DCCR/VYKAT XR; targeted hyperphagia therapy in Prader-Willi syndrome.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,CNS/appetite,KATP-channel activation,True,False,False
disulfiram,1,1,182,disulfiram,disulfiram,Metabolic/lipid handling,lipid partitioning/autophagy,no single validated obesity target,Repurposed metabolic effect involving altered systemic lipid partitioning; earlier work also implicated autophagy,small molecule,,False,VERIFIED,medium,https://pubmed.ncbi.nlm.nih.gov/41726890/,Anti-obesity mechanism remains pleiotropic; newer evidence supports GSDMD-independent lipid-partitioning effects.,False,False,VERIFIED,VERIFIED,Metabolic/lipid handling,lipid partitioning/autophagy,True,False,False
dmxb-a,1,1,183,dmxb-a,DMXB-A,CNS/appetite,alpha7 nicotinic receptor,CHRNA7 (alpha7 nAChR),Partial agonism of alpha7 nicotinic acetylcholine receptors,small molecule,mono,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT02458313,GTS-21/DMXB-A; experimental nicotinic agonist directly studied in overweight/obese adults.,False,False,VERIFIED,VERIFIED,CNS/appetite,alpha7 nicotinic receptor,True,False,False
dose escalation of sa030,1,1,184,dose escalation of sa030,SA030,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),Adipose-targeting siRNA-mediated silencing of ALK7,siRNA,,False,VERIFIED_ALIAS,high,https://www.siranbio.com/en/,Registry dosing label; collapse to SA030.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Adipose signalling/RNAi,ALK7/ACVR1C,True,False,False
dr10624 for,1,1,185,dr10624 for,DR10624,Incretin + metabolic/hepatokine,GLP-1/glucagon/FGF21,GLP1R; GCGR; FGF21 receptor pathway,"Balanced tri-agonism of GLP-1R, glucagon receptor and FGF21 receptor pathways",Fc-fusion protein,triple,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT05378893,Registry wording for DR10624.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin + metabolic/hepatokine,GLP-1/glucagon/FGF21,True,False,False
drug vct220 repaglinide rosuvastatin and digoxin,1,1,186,drug vct220 repaglinide rosuvastatin and digoxin,vct220,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,small molecule,mono,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07065058,"VCT220 is the focal obesity-development asset; repaglinide, rosuvastatin and digoxin are DDI probe drugs.",False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
dwc202502,1,1,187,dwc202502,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07539415,DWC202502 is a semaglutide active-comparator formulation in the DWRX5003 bioavailability study.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
dwc202503,1,1,188,dwc202503,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07539415,DWC202503 is a semaglutide active-comparator formulation in the DWRX5003 bioavailability study.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
dwrx5003,1,1,189,dwrx5003,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,https://daewoongrx.co.kr/microneedle/,DWRX5003 is a once-weekly microneedle-patch formulation of semaglutide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
ecc4703,1,1,190,ecc4703,ECC4703,Metabolic/energy expenditure,THR-beta,THRB,Liver-targeted thyroid hormone receptor-beta agonism,small molecule,mono,False,VERIFIED,high,https://www.eccogene.com/wp-content/uploads/AASLD-2024_ECC4703-poster-5019_print-36inx70in.pdf,Selective liver-targeting THR-beta full agonist; being tested as an adjunct to semaglutide for obesity.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,THR-beta,True,False,False
efocipegtrutide,1,1,191,efocipegtrutide,efocipegtrutide,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonism,Fc-fusion peptide/protein,triple,True,VERIFIED,high,https://precision.fda.gov/ginas/app/ui/substances/TUI1MDD9F6,HM15211; long-acting GLP-1/GIP/glucagon triple agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
elecoglipron,1,1,192,elecoglipron,elecoglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42259337/,AZD5004; oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
eloralintide + tirzepatide,1,1,193,eloralintide + tirzepatide,eloralintide + tirzepatide,Incretin + amylin,amylin + GLP-1/GIP combination,amylin receptors; GLP1R; GIPR,Combination of selective amylin-receptor agonism with dual GLP-1/GIP agonism,peptide combination,combination,True,VERIFIED,high,,Combination obesity regimen.,False,False,VERIFIED,VERIFIED,Incretin + amylin,amylin + GLP-1/GIP combination,True,False,False
emp16-120/40,1,1,194,emp16-120/40,EMP16 (orlistat + acarbose),GI nutrient absorption,lipase + carbohydrate-digestion inhibition,gastric/pancreatic lipases; intestinal alpha-glucosidases/amylase,Modified-release orlistat plus acarbose reduces fat absorption and delays carbohydrate digestion,small-molecule combination/formulation,combination,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/36123783/,EMP16 dose-strength label; collapse to EMP16 (orlistat + acarbose).,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI nutrient absorption,lipase + carbohydrate-digestion inhibition,True,False,False
emp16-60/20,1,1,195,emp16-60/20,EMP16 (orlistat + acarbose),GI nutrient absorption,lipase + carbohydrate-digestion inhibition,gastric/pancreatic lipases; intestinal alpha-glucosidases/amylase,Modified-release orlistat plus acarbose reduces fat absorption and delays carbohydrate digestion,small-molecule combination/formulation,combination,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/36123783/,EMP16 dose-strength label; collapse to EMP16 (orlistat + acarbose).,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI nutrient absorption,lipase + carbohydrate-digestion inhibition,True,False,False
ent-03,1,1,196,ent-03,ENT-03,CNS/metabolic,PTP1B inhibition,PTPN1 (PTP1B),Centrally acting allosteric PTP1B inhibition affecting hypothalamic insulin/leptin signalling,aminosterol small molecule,,False,VERIFIED,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/271-OR/159650/,Centrally acting aminosterol PTP1B inhibitor in Phase 1 obesity/T2D development.,False,False,VERIFIED,VERIFIED,CNS/metabolic,PTP1B inhibition,True,False,False
entacapone,1,1,197,entacapone,entacapone,Metabolic/energy expenditure,FTO inhibition,FTO,FTO inhibition with downstream FOXO1 effects on hepatic gluconeogenesis and adipose thermogenesis,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/30996080/,Repurposed FTO inhibitor programme.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,FTO inhibition,True,False,False
eqw plus dapa,1,1,198,eqw plus dapa,exenatide + dapagliflozin,Metabolic combination,GLP-1 + SGLT2,GLP1R; SLC5A2 (SGLT2),Combined GLP-1 receptor agonism and SGLT2 inhibition,peptide + small-molecule combination,combination,True,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/28345814/,EQW denotes exenatide once weekly; DAPA denotes dapagliflozin.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,GLP-1 + SGLT2,True,False,False
exenatide implant,1,1,199,exenatide implant,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,,Long-acting/formulation wording; collapse to exenatide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
exenatide microspheres for,1,1,200,exenatide microspheres for,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,,Long-acting/formulation wording; collapse to exenatide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
exenatide once weekly eqw,1,1,201,exenatide once weekly eqw,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,,EQW denotes exenatide once weekly; collapse to exenatide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
exendin-4 fc fusion protein jy09,1,1,202,exendin-4 fc fusion protein jy09,JY09,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonism,Fc-fusion protein,mono,True,VERIFIED,high,https://synapse.patsnap.com/drug/2debc71c5bba4451be570b7b2b2b5999,JY09 is an exendin-4/Fc fusion protein GLP-1 receptor agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
experimental bgm0504 10 milligrams mg bgm0504 administered subcutaneously sc once a week,1,1,203,experimental bgm0504 10 milligrams mg bgm0504 administered subcutaneously sc once a week,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonism,peptide,dual,True,VERIFIED_ALIAS,high,,Registry arm/dose wording; collapse to BGM0504.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
experimental bgm0504 bgm0504 administered sc once a week,1,1,204,experimental bgm0504 bgm0504 administered sc once a week,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonism,peptide,dual,True,VERIFIED_ALIAS,high,,Registry arm/dose wording; collapse to BGM0504.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
for chronic weight management rx,1,1,205,for chronic weight management rx,approved chronic weight-management medication class,Mixed/unspecified,mixed approved anti-obesity pharmacotherapy,,Pragmatic class label covering approved chronic weight-management drugs,mixed class,mixed,,VERIFIED,medium,https://clinicaltrials.gov/study/NCT03799198,"Class label includes orlistat, lorcaserin, phentermine/topiramate, naltrexone/bupropion and liraglutide.",False,False,VERIFIED,VERIFIED,Mixed/unspecified,mixed approved anti-obesity pharmacotherapy,True,False,False
g3215,1,1,206,g3215,G3215,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonism,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/38229453/,GLP-1/glucagon co-agonist evaluated by adaptive continuous infusion.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
glp-1,1,1,207,glp-1,unspecified GLP-1 receptor agonist,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,unspecified,mono,True,VERIFIED,medium,,Generic GLP-1 class label rather than a named molecule.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
glp-1 receptor agonist therapy,1,1,208,glp-1 receptor agonist therapy,unspecified GLP-1 receptor agonist,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,unspecified,mono,True,VERIFIED_ALIAS,medium,,Generic GLP-1RA therapy label.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
